iter	Logloss
0	0.6019854538
1	0.554346277
2	0.5281114176
3	0.5122478525
4	0.5021367648
5	0.4960211128
6	0.4924508441
7	0.4893168985
8	0.4873518924
9	0.4863850233
10	0.4850386895
11	0.484187415
12	0.4833697406
13	0.4829562291
14	0.4825999659
15	0.4824369916
16	0.4822543965
17	0.4821150459
18	0.4815775198
19	0.481333518
20	0.4811858195
21	0.4809485071
22	0.4807896615
23	0.4806785011
24	0.4805428922
25	0.4804799763
26	0.4804206772
27	0.4803745141
28	0.4802791892
29	0.4801590299
30	0.4799142674
31	0.4797794061
32	0.4795571548
33	0.4793959446
34	0.4793075306
35	0.4792167548
36	0.4791708716
37	0.4790242759
38	0.4787556968
39	0.4786561546
40	0.4785569813
41	0.4784786501
42	0.4784172013
43	0.4783011502
44	0.4782478793
45	0.4781962978
46	0.4780951925
47	0.4780209398
48	0.4778639724
49	0.4777630969
50	0.4776571238
51	0.4775704477
52	0.4773556432
53	0.4773076207
54	0.4772828225
55	0.477184062
56	0.4771139744
57	0.4770431947
58	0.4770250249
59	0.4769426061
60	0.4769272647
61	0.4769077551
62	0.4768863296
63	0.4768214647
64	0.476786811
65	0.4767729342
66	0.4767124412
67	0.4766210438
68	0.4765781422
69	0.4765499829
70	0.4765005825
71	0.4764347427
72	0.4763728509
73	0.4763127651
74	0.4762965403
75	0.4761509331
76	0.4761317875
77	0.4760051178
78	0.4759527752
79	0.4759153496
80	0.4758884681
81	0.475849246
82	0.4758309575
83	0.4758158389
84	0.4757782737
85	0.475730367
86	0.4757131036
87	0.475694565
88	0.4756061003
89	0.4755333674
90	0.4754753543
91	0.475455228
92	0.4754054414
93	0.475391131
94	0.4753257121
95	0.4752918347
96	0.4752040285
97	0.4751909922
98	0.4751239542
99	0.475099252
