iter	Passed	Remaining
0	3	368
1	7	373
2	11	380
3	15	378
4	19	373
5	23	367
6	26	348
7	28	329
8	30	312
9	32	295
10	34	281
11	36	267
12	38	255
13	39	245
14	41	234
15	42	225
16	44	216
17	45	208
18	47	201
19	48	194
20	49	187
21	51	182
22	52	176
23	54	171
24	55	166
25	58	166
26	59	160
27	60	156
28	62	151
29	63	147
30	64	144
31	66	140
32	67	137
33	69	134
34	70	130
35	71	127
36	73	124
37	74	121
38	76	119
39	77	116
40	79	113
41	80	111
42	82	108
43	83	106
44	84	103
45	86	101
46	87	98
47	88	96
48	90	94
49	91	91
50	93	89
51	94	87
52	95	84
53	97	82
54	98	80
55	99	78
56	101	76
57	102	74
58	103	72
59	105	70
60	106	68
61	107	65
62	109	64
63	110	62
64	111	60
65	113	58
66	114	56
67	115	54
68	117	52
69	118	50
70	119	48
71	121	47
72	122	45
73	123	43
74	125	41
75	126	39
76	127	38
77	129	36
78	130	34
79	131	32
80	133	31
81	134	29
82	135	27
83	137	26
84	138	24
85	139	22
86	141	21
87	142	19
88	144	17
89	145	16
90	146	14
91	148	12
92	149	11
93	151	9
94	152	8
95	153	6
96	155	4
97	156	3
98	157	1
99	159	0
