iter	Passed	Remaining
0	22	22120
1	31	15531
2	67	22395
3	108	27022
4	111	22203
5	115	19052
6	117	16736
7	130	16194
8	132	14545
9	133	13196
10	134	12110
11	136	11276
12	151	11490
13	171	12073
14	172	11344
15	174	10707
16	198	11454
17	211	11565
18	230	11885
19	231	11344
20	232	10852
21	274	12200
22	277	11806
23	279	11355
24	280	10939
25	281	10555
26	313	11307
27	314	10930
28	315	10569
29	316	10240
30	317	9931
31	318	9628
32	319	9353
33	320	9092
34	320	8847
35	321	8620
36	322	8400
37	323	8193
38	325	8014
39	326	7847
40	329	7705
41	330	7537
42	331	7377
43	332	7227
44	333	7081
45	336	6974
46	337	6852
47	354	7034
48	368	7152
49	369	7019
50	370	6891
51	371	6767
52	373	6678
53	376	6596
54	378	6501
55	380	6417
56	382	6333
57	385	6254
58	386	6170
59	388	6091
60	390	6013
61	393	5953
62	395	5888
63	398	5824
64	400	5763
65	417	5903
66	418	5825
67	419	5749
68	420	5676
69	421	5604
70	423	5536
71	424	5474
72	426	5411
73	482	6035
74	483	5964
75	484	5892
76	485	5822
77	486	5753
78	487	5686
79	488	5619
80	490	5559
81	491	5499
82	492	5439
83	492	5375
84	498	5363
85	500	5319
86	502	5270
87	514	5331
88	515	5278
89	516	5222
90	517	5170
91	518	5116
92	519	5065
93	520	5014
94	521	4963
95	522	4915
96	522	4868
97	523	4820
98	524	4775
99	525	4730
100	526	4686
101	526	4638
102	527	4597
103	528	4556
104	530	4518
105	544	4596
106	545	4551
107	548	4526
108	552	4515
109	565	4577
110	572	4585
111	573	4548
112	574	4511
113	575	4475
114	605	4658
115	635	4845
116	638	4816
117	639	4783
118	641	4746
119	646	4737
120	647	4704
121	649	4671
122	650	4634
123	653	4617
124	654	4582
125	655	4549
126	656	4514
127	657	4482
128	658	4448
129	661	4423
130	662	4393
131	663	4366
132	664	4330
133	679	4393
134	682	4370
135	683	4341
136	685	4316
137	710	4436
138	727	4508
139	730	4488
140	732	4464
141	757	4575
142	758	4547
143	760	4519
144	777	4583
145	778	4555
146	780	4527
147	782	4507
148	785	4483
149	786	4456
150	787	4427
151	811	4525
152	826	4575
153	827	4548
154	830	4525
155	832	4503
156	834	4482
157	836	4459
158	853	4512
159	854	4486
160	855	4457
161	856	4429
162	857	4401
163	857	4372
164	858	4346
165	859	4318
166	860	4291
167	860	4261
168	861	4235
169	862	4208
170	862	4183
171	863	4157
172	865	4136
173	866	4113
174	867	4089
175	868	4066
176	870	4045
177	877	4050
178	879	4032
179	880	4011
180	881	3990
181	893	4014
182	896	4002
183	897	3979
184	898	3956
185	899	3935
186	901	3918
187	902	3899
188	903	3877
189	904	3856
190	905	3834
191	906	3813
192	907	3792
193	907	3772
194	909	3753
195	910	3734
196	912	3717
197	914	3704
198	916	3688
199	917	3668
200	918	3649
201	918	3630
202	922	3621
203	926	3614
204	927	3597
205	928	3579
206	929	3562
207	930	3544
208	931	3526
209	933	3511
210	934	3494
211	935	3476
212	936	3459
213	937	3441
214	937	3424
215	938	3406
216	939	3389
217	940	3372
218	940	3355
219	942	3340
220	944	3328
221	945	3313
222	946	3297
223	947	3282
224	948	3268
225	957	3280
226	959	3265
227	963	3262
228	964	3247
229	965	3233
230	967	3219
231	968	3204
232	969	3190
233	970	3177
234	972	3165
235	973	3152
236	975	3139
237	983	3148
238	984	3135
239	985	3121
240	986	3107
241	987	3093
242	988	3079
243	988	3063
244	989	3050
245	990	3036
246	992	3025
247	993	3012
248	994	2999
249	995	2986
250	996	2973
251	997	2960
252	998	2947
253	999	2934
254	999	2920
255	1000	2906
256	1001	2894
257	1002	2882
258	1003	2870
259	1004	2859
260	1004	2845
261	1006	2835
262	1010	2832
263	1012	2822
264	1013	2811
265	1016	2804
266	1017	2794
267	1018	2782
268	1019	2770
269	1020	2758
270	1021	2746
271	1021	2735
272	1022	2723
273	1024	2715
274	1026	2705
275	1026	2693
276	1028	2683
277	1028	2672
278	1029	2660
279	1031	2652
280	1032	2641
281	1033	2630
282	1034	2621
283	1036	2613
284	1039	2607
285	1040	2597
286	1041	2587
287	1042	2577
288	1043	2567
289	1045	2559
290	1046	2548
291	1046	2538
292	1047	2528
293	1048	2518
294	1049	2508
295	1051	2499
296	1051	2489
297	1052	2479
298	1053	2470
299	1058	2469
300	1059	2460
301	1060	2451
302	1061	2441
303	1062	2432
304	1063	2423
305	1064	2414
306	1065	2404
307	1066	2395
308	1066	2385
309	1067	2376
310	1069	2369
311	1070	2359
312	1071	2351
313	1072	2343
314	1074	2336
315	1076	2330
316	1078	2323
317	1080	2317
318	1082	2311
319	1085	2306
320	1087	2300
321	1089	2294
322	1092	2289
323	1094	2283
324	1095	2275
325	1096	2266
326	1097	2258
327	1098	2250
328	1099	2241
329	1100	2233
330	1100	2224
331	1101	2215
332	1103	2209
333	1105	2204
334	1107	2197
335	1108	2190
336	1110	2183
337	1111	2177
338	1113	2170
339	1114	2162
340	1115	2155
341	1117	2149
342	1119	2144
343	1120	2137
344	1122	2130
345	1123	2123
346	1124	2116
347	1127	2111
348	1127	2103
349	1128	2095
350	1129	2088
351	1130	2081
352	1131	2074
353	1133	2067
354	1134	2062
355	1141	2065
356	1143	2059
357	1145	2053
358	1146	2047
359	1147	2040
360	1148	2032
361	1148	2024
362	1149	2017
363	1150	2010
364	1151	2004
365	1153	1997
366	1154	1990
367	1155	1983
368	1156	1976
369	1156	1969
370	1157	1962
371	1158	1955
372	1159	1948
373	1160	1942
374	1160	1934
375	1161	1928
376	1162	1921
377	1163	1915
378	1164	1908
379	1165	1901
380	1166	1895
381	1170	1894
382	1173	1890
383	1175	1885
384	1177	1880
385	1179	1876
386	1181	1871
387	1184	1867
388	1185	1861
389	1186	1855
390	1188	1850
391	1189	1845
392	1191	1840
393	1193	1835
394	1194	1830
395	1196	1824
396	1198	1820
397	1200	1815
398	1201	1809
399	1201	1802
400	1202	1796
401	1203	1790
402	1204	1784
403	1205	1778
404	1206	1771
405	1206	1765
406	1207	1759
407	1208	1753
408	1209	1748
409	1210	1742
410	1211	1736
411	1212	1730
412	1213	1724
413	1213	1718
