,number_of_rooms,floor,area,latitude,longitude,price
0,1,1,58.0,38.5858337,68.793715,330000
1,1,14,68.0,38.52225355,68.74991793788521,340000
2,3,8,50.0,,,700000
3,3,14,84.0,38.5208346,68.74790775,700000
4,3,3,83.0,38.564374400000005,68.73941921022708,415000
5,3,4,53.0,38.53068645,68.74526127900722,513000
6,2,12,67.0,38.5871679,68.7869964,360000
7,2,4,52.0,,,397000
8,2,7,95.0,,,499000
9,2,15,73.0,38.538394249999996,68.754725015596,450000
10,1,16,47.0,,,395000
11,2,15,52.0,38.5853222,68.71890381645422,370000
12,1,4,50.0,38.5615057,68.739065,490000
13,2,11,51.0,38.5853222,68.71890381645422,430000
14,2,9,48.0,38.585271649999996,68.7282739598053,391000
15,3,12,98.0,,,1026000
16,2,3,55.0,,,375000
17,1,7,65.0,38.5408908,68.72091576322063,229000
18,3,15,50.0,,,575000
19,4,17,122.0,,,1290000
20,3,6,78.0,38.5871679,68.7869964,710000
21,1,7,67.0,38.554049899999995,68.78854784999999,275000
22,3,11,106.0,38.5615057,68.739065,1112300
23,4,3,67.0,38.5635832,68.7537962,900000
24,2,17,70.0,38.52398815,68.75070675,300000
25,3,10,68.0,38.5644634,68.7598051,473100
26,3,3,90.0,38.5615057,68.739065,433200
27,2,10,50.0,,,330000
28,3,11,50.0,,,910000
29,3,9,50.0,,,1020000
30,2,11,73.0,38.5871679,68.7869964,855000
31,2,7,79.0,38.5635832,68.7537962,490000
32,1,12,64.0,38.5635832,68.7537962,355000
33,2,14,56.0,38.5615057,68.739065,421000
34,2,3,53.0,38.5305762,68.7763022,300000
35,3,2,60.0,,,550000
36,1,3,45.0,38.5305762,68.7763022,180000
37,3,3,80.0,38.5887216,68.73026537888512,680000
38,3,2,80.0,38.5234594,68.74951586109968,780000
39,2,4,52.0,38.5885533,68.7787884,193000
40,1,13,42.0,38.54557415,68.82363701984585,262000
41,1,9,41.0,38.5853222,68.71890381645422,117000
42,2,4,36.0,38.5305762,68.7763022,325000
43,2,4,52.0,38.5507163,68.8305472,547000
44,6,4,95.0,38.5425835,68.81521423589763,990000
45,2,17,52.0,38.5305762,68.7763022,455000
46,3,17,70.0,38.58288255,68.7482971,370000
47,3,14,109.0,38.58227975,68.76266008256485,570000
48,1,4,60.0,38.5507163,68.8305472,420000
49,4,3,75.0,,,639000
50,3,5,87.0,38.53258295,68.73744528032304,550000
51,4,7,153.0,38.5686785,68.79479377896965,2093040
52,2,7,95.0,38.5507163,68.8305472,685000
53,1,7,66.0,,,413820
54,1,5,53.0,,,332310
55,3,10,92.0,38.5853222,68.71890381645422,570000
56,2,8,80.0,38.52225355,68.74991793788521,592000
57,3,7,70.0,38.52225355,68.74991793788521,57000
58,2,2,60.0,38.54670385,68.74736905,500000
59,2,7,55.0,38.58288255,68.7482971,435000
60,1,7,54.0,38.5112209,68.73803768568288,201999
61,2,16,78.0,38.5623522,68.81128815016059,371000
62,2,5,60.0,38.5305762,68.7763022,465000
63,2,9,64.0,38.5832623,68.7107404123386,200000
64,3,3,75.0,38.5305762,68.7763022,590000
65,2,6,71.0,38.571596549999995,68.76501266615352,270000
66,2,1,60.0,38.54670385,68.74736905,521082
67,2,4,37.0,38.5575994,68.76368975457416,380000
68,1,12,64.0,,,344000
69,2,3,49.0,38.5305762,68.7763022,173000
70,2,4,49.0,38.5305762,68.7763022,288000
71,2,7,43.0,38.5655442,68.7958866,345000
72,1,6,46.0,38.5615057,68.739065,280000
73,2,2,78.0,38.5615057,68.739065,456000
74,2,4,49.0,38.5305762,68.7763022,280000
75,2,5,41.0,38.5305762,68.7763022,252000
76,2,6,65.0,,,625000
77,2,9,88.0,38.5507163,68.8305472,812500
78,1,2,51.0,38.5507163,68.8305472,470000
79,3,10,90.0,38.5686785,68.79479377896965,461700
80,2,14,82.0,38.5635832,68.7537962,448000
81,1,14,62.0,38.5635832,68.7537962,340000
82,3,5,160.0,38.58096865,68.79602632635067,1058000
83,2,10,87.0,38.5507163,68.8305472,406000
84,1,11,57.0,38.5507163,68.8305472,266000
85,3,10,104.0,38.5739136,68.7854047,640000
86,3,15,116.0,38.5637406,68.7921509,634700
87,1,14,57.0,38.533662,68.6677214,318400
88,1,12,74.0,38.5637406,68.7921509,430000
89,1,10,47.0,38.546926150000004,68.75433241238348,198200
90,1,8,47.0,38.56067835,68.74870560029927,203000
91,2,13,79.0,38.58288255,68.7482971,480000
92,2,9,88.0,38.5507163,68.8305472,371000
93,1,7,61.0,,,350000
94,2,7,62.0,,,367000
95,1,11,50.0,,,212000
96,2,16,71.0,38.5305762,68.7763022,524000
97,1,8,54.0,38.5112209,68.73803768568288,196000
98,1,11,47.0,38.58980425,68.78555936331782,172000
99,1,12,68.0,38.5647176,68.7909964,295000
100,2,9,54.0,,,233500
101,2,11,74.0,38.554049899999995,68.78854784999999,320000
102,1,5,47.0,38.5644634,68.7598051,237000
103,1,5,58.0,38.5644634,68.7598051,350000
104,2,5,73.0,38.5670588,68.7580972,440000
105,1,11,65.0,,,310000
106,2,14,82.0,,,610000
107,3,9,71.0,38.5507163,68.8305472,500000
108,3,3,76.0,38.5305762,68.7763022,430000
109,2,3,64.0,38.5707484,68.7886955,583999
110,1,14,59.0,,,438000
111,1,3,33.0,38.5635832,68.7537962,270000
