number_of_rooms,floor,area,latitude,longitude,price
1,1,58.0,38.5858337,68.793715,330000
1,14,68.0,38.52225355,68.74991793788521,340000
3,8,50.0,,,700000
3,14,84.0,38.5208346,68.74790775,700000
3,3,83.0,38.564374400000005,68.73941921022708,415000
3,4,53.0,38.53068645,68.74526127900722,513000
2,12,67.0,38.5871679,68.7869964,360000
2,4,52.0,,,397000
2,7,95.0,,,499000
2,15,73.0,38.53839425,68.754725015596,450000
1,16,47.0,,,395000
2,15,52.0,38.5853222,68.71890381645422,370000
1,4,50.0,38.5615057,68.739065,490000
2,11,51.0,38.5853222,68.71890381645422,430000
2,9,48.0,38.58527165,68.7282739598053,391000
3,12,98.0,,,1026000
2,3,55.0,,,375000
1,7,65.0,38.5408908,68.72091576322063,229000
3,15,50.0,,,575000
4,17,122.0,,,1290000
3,6,78.0,38.5871679,68.7869964,710000
1,7,67.0,38.5540499,68.78854784999999,275000
3,11,106.0,38.5615057,68.739065,1112300
4,3,67.0,38.5635832,68.7537962,900000
2,17,70.0,38.52398815,68.75070675,300000
3,10,68.0,38.5644634,68.7598051,473100
3,3,90.0,38.5615057,68.739065,433200
2,10,50.0,,,330000
3,11,50.0,,,910000
3,9,50.0,,,1020000
2,11,73.0,38.5871679,68.7869964,855000
2,7,79.0,38.5635832,68.7537962,490000
1,12,64.0,38.5635832,68.7537962,355000
2,14,56.0,38.5615057,68.739065,421000
2,3,53.0,38.5305762,68.7763022,300000
3,2,60.0,,,550000
1,3,45.0,38.5305762,68.7763022,180000
3,3,80.0,38.5887216,68.73026537888512,680000
3,2,80.0,38.5234594,68.74951586109968,780000
2,4,52.0,38.5885533,68.7787884,193000
1,13,42.0,38.54557415,68.82363701984585,262000
1,9,41.0,38.5853222,68.71890381645422,117000
2,4,36.0,38.5305762,68.7763022,325000
2,4,52.0,38.5507163,68.8305472,547000
6,4,95.0,38.5425835,68.81521423589763,990000
2,17,52.0,38.5305762,68.7763022,455000
3,17,70.0,38.58288255,68.7482971,370000
3,14,109.0,38.58227975,68.76266008256485,570000
1,4,60.0,38.5507163,68.8305472,420000
4,3,75.0,,,639000
3,5,87.0,38.53258295,68.73744528032304,550000
4,7,153.0,38.5686785,68.79479377896965,2093040
2,7,95.0,38.5507163,68.8305472,685000
1,7,66.0,,,413820
1,5,53.0,,,332310
3,10,92.0,38.5853222,68.71890381645422,570000
2,8,80.0,38.52225355,68.74991793788521,592000
3,7,70.0,38.52225355,68.74991793788521,57000
2,2,60.0,38.54670385,68.74736905,500000
2,7,55.0,38.58288255,68.7482971,435000
1,7,54.0,38.5112209,68.73803768568288,201999
2,16,78.0,38.5623522,68.81128815016059,371000
2,5,60.0,38.5305762,68.7763022,465000
2,9,64.0,38.5832623,68.7107404123386,200000
3,3,75.0,38.5305762,68.7763022,590000
2,6,71.0,38.57159655,68.76501266615352,270000
2,1,60.0,38.54670385,68.74736905,521082
2,4,37.0,38.5575994,68.76368975457416,380000
1,12,64.0,,,344000
2,3,49.0,38.5305762,68.7763022,173000
2,4,49.0,38.5305762,68.7763022,288000
2,7,43.0,38.5655442,68.7958866,345000
1,6,46.0,38.5615057,68.739065,280000
2,2,78.0,38.5615057,68.739065,456000
2,4,49.0,38.5305762,68.7763022,280000
2,5,41.0,38.5305762,68.7763022,252000
2,6,65.0,,,625000
2,9,88.0,38.5507163,68.8305472,812500
1,2,51.0,38.5507163,68.8305472,470000
3,10,90.0,38.5686785,68.79479377896965,461700
2,14,82.0,38.5635832,68.7537962,448000
1,14,62.0,38.5635832,68.7537962,340000
3,5,160.0,38.58096865,68.79602632635067,1058000
2,10,87.0,38.5507163,68.8305472,406000
1,11,57.0,38.5507163,68.8305472,266000
3,10,104.0,38.5739136,68.7854047,640000
3,15,116.0,38.5637406,68.7921509,634700
1,14,57.0,38.533662,68.6677214,318400
1,12,74.0,38.5637406,68.7921509,430000
1,10,47.0,38.54692615,68.75433241238348,198200
1,8,47.0,38.56067835,68.74870560029927,203000
2,13,79.0,38.58288255,68.7482971,480000
2,9,88.0,38.5507163,68.8305472,371000
1,7,61.0,,,350000
2,7,62.0,,,367000
1,11,50.0,,,212000
2,16,71.0,38.5305762,68.7763022,524000
1,8,54.0,38.5112209,68.73803768568288,196000
1,11,47.0,38.58980425,68.78555936331782,172000
1,12,68.0,38.5647176,68.7909964,295000
2,9,54.0,,,233500
2,11,74.0,38.5540499,68.78854784999999,320000
1,5,47.0,38.5644634,68.7598051,237000
1,5,58.0,38.5644634,68.7598051,350000
2,5,73.0,38.5670588,68.7580972,440000
1,11,65.0,,,310000
2,14,82.0,,,610000
3,9,71.0,38.5507163,68.8305472,500000
3,3,76.0,38.5305762,68.7763022,430000
2,3,64.0,38.5707484,68.7886955,583999
1,14,59.0,,,438000
1,3,33.0,38.5635832,68.7537962,270000
2,2,37.0,38.5305762,68.7763022,300000
2,2,55.0,38.5635832,68.7537962,350000
4,4,209.0,,,2820000
4,7,86.0,38.52874565,68.7448214,500000
2,13,88.0,38.52874565,68.7448214,465000
2,12,72.0,,,445000
1,3,40.0,38.50599805,68.75511569013814,200000
1,3,41.0,38.5305762,68.7763022,245000
2,12,72.0,38.5507163,68.8305472,445000
4,1,150.0,38.5305762,68.7763022,790650
3,3,70.0,,,500000
2,6,65.0,,,625000
1,6,44.0,,,302100
2,14,62.0,38.5644634,68.7598051,285000
3,6,74.0,38.58569185,68.72512473468157,620000
3,2,52.0,38.5858337,68.793715,160000
3,9,93.0,38.5871679,68.7869964,470000
2,7,66.0,38.5871679,68.7869964,410000
2,5,67.0,38.5871679,68.7869964,416000
1,5,59.0,38.5871679,68.7869964,366000
2,10,66.0,38.5871679,68.7869964,340000
3,3,106.0,38.5871679,68.7869964,658000
2,2,110.0,,,1596000
2,10,67.0,38.5871679,68.7869964,755000
1,1,30.0,38.5905467,68.7329119,285000
2,10,64.0,38.5834656,68.7891768,457000
1,3,42.0,38.5615057,68.739065,300000
1,4,42.0,38.5575994,68.76368975457416,285000
3,5,75.0,38.5885533,68.7787884,460000
2,13,52.0,38.5849938,68.7245146,364160
2,2,67.0,38.5077678,68.7681578,499000
2,12,95.0,38.5871679,68.7869964,690000
2,11,63.0,,,445000
3,7,120.0,,,1220000
3,1,68.0,38.5425835,68.81521423589763,535000
2,2,55.0,38.5507163,68.8305472,380000
3,6,50.0,,,450000
3,5,56.0,38.5507163,68.8305472,380000
1,13,40.0,38.5853222,68.71890381645422,120000
1,6,30.0,38.5615057,68.739065,170000
4,2,80.0,38.57144665,68.75630004640139,720000
3,4,68.0,,,535000
2,1,38.0,38.5615057,68.739065,250000
1,3,32.0,38.5615057,68.739065,200000
2,14,60.0,,,430000
2,12,66.0,,,500000
2,4,50.0,,,729600
3,1,62.0,38.55844695,68.74822573217185,400000
2,12,72.0,38.5615057,68.739065,490200
3,1,50.0,,,450000
2,10,53.0,,,260000
2,8,77.0,38.5666857,68.80115682489688,328000
2,5,42.0,38.5427128,68.86664877742379,123000
2,10,80.0,38.5635832,68.7537962,350000
1,1,37.0,38.58569185,68.72512473468157,181600
3,7,82.0,38.5507163,68.8305472,595000
3,9,50.0,,,850000
2,14,68.0,,,799000
2,3,39.0,38.5615057,68.739065,461000
3,5,75.0,38.5885533,68.7787884,467400
3,11,202.0,38.5507163,68.8305472,1900000
2,7,86.0,,,353000
3,8,96.0,,,404000
1,5,75.0,,,200000
2,11,108.0,,,925000
3,6,149.0,,,1800000
2,2,77.0,38.5507163,68.8305472,625000
2,8,60.0,38.5305762,68.7763022,315000
3,14,78.0,38.5849938,68.7245146,470000
3,10,104.0,38.5737759,68.8016005,652000
3,10,183.0,,,980000
1,4,61.0,38.4881522,68.7153354,399000
2,5,70.0,38.5305762,68.7763022,370000
3,16,105.0,38.4881522,68.7153354,515000
1,4,55.0,38.5305762,68.7763022,282150
2,4,83.0,,,1200000
2,12,74.0,38.5507163,68.8305472,421000
2,9,85.0,38.54557415,68.82363701984585,629000
2,16,78.0,38.4881522,68.7153354,372000
4,1,85.0,38.5615057,68.739065,550000
2,9,88.0,38.5507163,68.8305472,798000
1,3,49.0,38.4881522,68.7153354,379000
3,10,104.0,38.5834656,68.7891768,639000
2,14,80.0,,,428640
2,16,72.0,,,400000
2,7,48.0,38.5305762,68.7763022,380000
1,5,66.0,38.5644634,68.7598051,430000
4,4,85.0,,,695000
2,12,45.0,38.5623522,68.81128815016059,567000
2,1,71.0,38.5871679,68.7869964,550000
2,4,84.0,38.5631138,68.7919442,650000
2,3,100.0,38.5644634,68.7598051,649000
2,14,71.0,,,450000
2,13,71.0,38.563966,68.7969471,590000
2,4,63.0,38.563966,68.7969471,450000
2,15,68.0,38.5575994,68.76368975457416,330000
1,13,46.0,38.5615057,68.739065,260000
3,4,65.0,,,460000
1,11,42.0,38.5686582,68.7850622,450000
2,2,44.0,,,240000
1,1,38.0,38.5305762,68.7763022,190000
4,6,120.0,38.5305762,68.7763022,700000
3,4,78.0,38.5858337,68.793715,305000
1,16,60.0,38.5507163,68.8305472,358000
2,0,65.0,38.5615057,68.739065,210000
2,9,50.0,,,750000
3,13,88.0,,,630000
1,2,50.0,38.55857825,68.79582022080177,316000
1,8,50.0,38.55857825,68.79582022080177,267000
3,6,105.0,38.5507163,68.8305472,560000
1,6,63.0,38.5507163,68.8305472,340000
2,3,72.0,38.55857825,68.79582022080177,420000
1,7,63.0,38.5507163,68.8305472,340000
3,11,106.0,38.5305762,68.7763022,545000
2,9,88.0,38.5507163,68.8305472,475000
1,9,130.0,38.5507163,68.8305472,696000
2,9,118.0,38.5507163,68.8305472,637000
2,6,88.0,38.55857825,68.79582022080177,449000
1,7,48.0,,,247000
2,14,85.0,38.5507163,68.8305472,538000
1,7,63.0,38.5858337,68.793715,376000
2,11,85.0,,,455000
2,11,97.0,38.5858337,68.793715,520000
2,10,74.0,38.5615057,68.739065,354000
2,10,75.0,38.5615057,68.739065,359000
3,10,112.0,38.5615057,68.739065,536000
3,14,112.0,,,740000
3,3,75.0,38.5823233,68.74831405,600000
3,10,128.0,38.5686785,68.79479377896965,588000
1,8,65.0,38.55014405,68.76102166353772,295000
3,8,98.0,38.55014405,68.76102166353772,418000
2,7,42.0,38.55857825,68.79582022080177,220000
3,4,84.0,38.54670385,68.74736905,745000
2,1,27.0,38.5305762,68.7763022,360000
2,15,73.0,38.5305762,68.7763022,450000
3,10,110.0,38.54557415,68.82363701984585,530000
2,3,59.0,,,425000
3,10,105.0,38.54692615,68.75433241238348,410000
2,1,50.0,,,250000
2,3,42.0,38.5615057,68.739065,230000
5,3,90.0,38.5234594,68.74951586109968,700000
3,2,80.0,38.564374400000005,68.73941921022708,437000
2,9,77.0,38.5507163,68.8305472,392000
2,8,68.0,,,398000
3,13,97.0,38.5507163,68.8305472,705000
1,6,56.0,38.5507163,68.8305472,450000
1,4,42.0,38.5077678,68.7681578,235000
2,3,65.0,38.54670385,68.74736905,570000
1,5,48.0,38.5305762,68.7763022,235000
3,7,130.0,38.5507163,68.8305472,925000
1,6,50.0,38.5389415,68.76361308837454,254000
3,14,122.0,38.5507163,68.8305472,700000
3,4,65.0,38.57159655,68.76501266615352,600000
2,3,42.0,38.5215622,68.74921245,420000
3,4,60.0,38.5635832,68.7537962,365000
1,12,59.0,38.5507163,68.8305472,400000
2,1,37.0,,,150000
3,18,135.0,38.5834656,68.7891768,730000
1,3,25.0,,,250000
5,11,185.0,,,1476000
1,8,50.0,38.5077678,68.7681578,218000
1,9,63.0,,,266500
3,18,126.0,38.563966,68.7969471,1083000
1,7,42.0,,,338000
2,1,50.0,,,390
2,6,60.0,,,500000
2,8,93.0,,,435000
2,15,50.0,,,590000
1,1,16.0,38.55844695,68.74822573217185,136000
1,2,33.0,38.5112209,68.73803768568288,210000
2,4,40.0,38.5615057,68.739065,370000
3,3,72.0,38.5902908,68.73696025314088,500000
2,8,48.0,38.5615057,68.739065,350000
2,3,50.0,,,300000
2,8,76.0,,,408000
1,13,58.0,38.5575994,68.76368975457416,299000
2,12,75.0,38.5112209,68.73803768568288,300000
1,11,48.0,38.5112209,68.73803768568288,195000
2,7,83.0,,,350000
1,8,55.0,,,240000
