iter	RMSE
0	415573.6609
1	407116.1546
2	399030.8335
3	391882.0742
4	384923.4869
5	378190.9596
6	371904.2079
7	365248.1293
8	359725.5613
9	355113.198
10	350876.392
11	345446.7292
12	341460.354
13	337614.8281
14	333824.9842
15	330785.6679
16	327762.3162
17	323747.0837
18	320913.3823
19	318382.7374
20	315851.7485
21	313600.1967
22	310583.318
23	308801.3286
24	306740.2752
25	304206.7081
26	301300.2093
27	298641.1796
28	296726.8052
29	295413.4139
30	293817.7359
31	291351.8948
32	290056.1377
33	288320.7841
34	287209.542
35	286315.2206
36	285146.9796
37	283115.215
38	282304.7718
39	280346.9042
40	279039.0571
41	278620.8982
42	277853.7872
43	277035.7192
44	276433.0801
45	275618.8034
46	275316.6079
47	274663.946
48	273521.2551
49	272257.8464
50	270622.7421
51	270045.8875
52	269239.7154
53	267685.8189
54	266536.8332
55	266081.6029
56	265690.1616
57	265235.5586
58	264840.5745
59	264296.4097
60	263779.9333
61	263502.0095
62	262488.8705
63	262116.7892
64	261816.0178
65	260365.5757
66	259097.5454
67	257824.5347
68	256727.7621
69	256462.4271
70	255252.0193
71	255175.3163
72	255013.5034
73	254693.8691
74	254168.121
75	253032.3823
76	251788.0124
77	251549.6797
78	251328.2465
79	250525.437
80	250067.6906
81	249315.2702
82	248753.5628
83	248560.0195
84	247334.6354
85	247249.4879
86	247090.2945
87	245911.8829
88	245770.428
89	245421.4088
90	245246.1412
91	244329.7354
92	244137.6369
93	244012.5348
94	243871.2609
95	243780.2249
96	243500.1418
97	242939.4928
98	242125.6881
99	241957.3634
100	241779.033
101	241579.4229
102	241468.6381
103	241177.1509
104	240455.4994
105	240336.892
106	239554.494
107	239451.6447
108	239302.4977
109	239016.7049
110	238852.5623
111	238705.9916
112	238533.2556
113	238309.4183
114	237633.0546
115	237535.8998
116	236888.9871
117	236630.622
118	235978.6703
119	235908.758
120	235793.8943
121	235432.8195
122	235351.9411
123	235308.2528
124	235158.7794
125	234932.717
126	234251.5595
127	234178.3638
128	234078.1492
129	233979.6477
130	233900.1961
131	233701.2104
132	232924.746
133	232677.6526
134	232182.6383
135	232115.4377
136	231902.8697
137	231639.0438
138	231358.8683
139	231311.8688
140	231246.759
141	231199.8424
142	231160.7009
143	230559.1624
144	230397.8681
145	230178.694
146	230090.5944
147	229937.5496
148	229817.9395
149	229726.8231
150	229631.3105
151	229569.5773
152	229407.462
153	229181.6512
154	229118.6576
155	228989.4598
156	228942.237
157	228825.8874
158	228714.0738
159	228610.0319
160	228307.5591
161	228226.8998
162	228160.9235
163	227770.5354
164	227433.6148
165	227371.7976
166	227325.9191
167	227243.3142
168	226802.3873
169	226755.0899
170	226641.6846
171	226589.3935
172	226509.9105
173	226448.1954
174	226438.1828
175	226418.4316
176	226360.77
177	226323.2571
178	225890.956
179	225584.782
180	225545.6822
181	225334.7182
182	225214.717
183	225131.0678
184	225077.4689
185	224799.0002
186	224728.9713
187	224427.6887
188	224401.7625
189	224349.8125
190	224240.5841
191	224194.2578
192	223898.8068
193	223863.9333
194	223849.7597
195	223775.7818
196	223749.7071
197	223725.466
198	223652.2562
199	223646.875
200	223594.9243
201	223539.2961
202	223484.3931
203	223350.168
204	223333.7326
205	223286.6264
206	223074.0296
207	222936.3525
208	222921.4781
209	222811.4882
210	222799.749
211	222769.4037
212	222737.4876
213	222601.1084
214	222587.1624
215	222546.7946
216	222334.7276
217	222290.4392
218	222201.8803
219	222190.3079
220	222008.6585
221	221990.3336
222	221979.0228
223	221966.066
224	221936.6325
225	221918.4595
226	221911.9533
227	221884.3927
228	221678.6211
229	221375.4512
230	221338.5362
231	221312.9672
232	220992.9362
233	220893.8885
234	220822.6265
235	220813.3978
236	220621.0835
237	220564.439
238	220323.6491
239	220319.2339
240	220229.8922
241	220066.2446
242	219878.6672
243	219860.7804
244	219487.1345
245	219479.6417
246	219256.0028
247	219072.3979
248	218959.4592
249	218775.4093
250	218769.3904
251	218750.7104
252	218703.9177
253	218522.5293
254	218405.0013
255	218216.5161
256	218092.9119
257	217919.4632
258	217902.5041
259	217891.0226
260	217633.1
261	217443.5172
262	217100.4454
263	217094.8418
264	216915.9725
265	216860.504
266	216716.6468
267	216594.9635
268	216566.5628
269	216539.5181
270	216377.5605
271	216131.4824
272	215967.5797
273	215912.4603
274	215657.0383
275	215648.968
276	215324.3164
277	215212.2444
278	215209.1527
279	215170.5299
280	215146.735
281	215002.7764
282	214979.6251
283	214973.9906
284	214749.5999
285	214523.3913
286	214292.4807
287	214280.7398
288	214062.4883
289	214057.0735
290	214021.8779
291	213814.5912
292	213605.1198
293	213307.4493
294	213285.2228
295	213282.5141
296	213279.895
297	213173.3535
298	213127.5466
299	213030.2187
300	212900.9077
301	212575.6972
302	212555.7227
303	212358.0995
304	212323.0467
305	212320.5594
306	212292.0188
307	212112.6093
308	212068.9085
309	212038.0934
310	211933.9805
311	211801.078
312	211798.7715
313	211604.6735
314	211538.7203
315	211415.3182
316	211231.5825
317	211102.2449
318	211082.0489
319	211061.9681
320	210759.8802
321	210741.2374
322	210488.422
323	210471.2631
324	210283.3692
325	210278.3167
326	210041.2876
327	209763.2032
328	209583.486
329	209412.6406
330	209225.3639
331	209055.8314
332	208964.8355
333	208928.5904
334	208877.4096
335	208716.502
336	208529.6031
337	208527.5808
338	208522.2673
339	208256.8947
340	208138.3
341	208134.0738
342	208030.6454
343	207931.7044
344	207769.9345
345	207617.6201
346	207546.2389
347	207389.3082
348	207310.8394
349	207300.9394
350	207115.1014
351	207014.2654
352	206933.8366
353	206790.6134
354	206650.9594
355	206509.2572
356	206503.3664
357	206355.1569
358	206187.9871
359	206182.3507
360	206092.1321
361	205972.7412
362	205936.9617
363	205784.0674
364	205725.2553
365	205720.9513
366	205554.6714
367	205454.836
368	205316.4028
369	205312.3661
370	205264.6158
371	205223.4443
372	204989.7202
373	204910.3148
374	204902.5153
375	204803.8827
376	204705.2482
377	204701.1093
378	204611.161
379	204529.593
380	204387.2963
381	204187.6471
382	204136.2969
383	203920.3643
384	203817.4573
385	203616.1194
386	203470.6983
387	203467.1146
388	203377.9048
389	203160.9018
390	202954.481
391	202765.0469
392	202731.6106
393	202563.3059
394	202533.3654
395	202424.9295
396	202416.5424
397	202239.2166
398	202118.5817
399	201989.4313
400	201940.2998
401	201790.4799
402	201722.5759
403	201711.3071
404	201708.2461
405	201646.4128
406	201561.6426
407	201495.5978
408	201411.7472
409	201348.8855
410	201275.1527
411	201206.9153
412	201076.3282
413	201049.7108
414	201043.8242
415	201042.1023
416	200924.6074
417	200795.765
418	200781.7418
419	200673.6204
420	200627.1798
421	200432.5647
422	200376.7442
423	200374.9536
424	200297.5638
425	200229.3153
426	200227.5889
427	200165.7882
428	200074.8723
429	199905.0911
430	199834.2769
431	199667.8679
432	199616.9281
433	199473.5435
434	199424.8135
435	199345.3883
436	199339.3234
437	199246.643
438	199139.5915
439	199060.0051
440	199057.868
441	198975.9103
442	198809.5309
443	198758.3089
444	198680.6205
445	198618.2924
446	198505.8136
447	198499.2304
448	198497.2134
449	198495.2663
450	198373.1901
451	198276.5669
452	198206.6822
453	198082.0387
454	197964.3831
455	197958.7872
456	197804.0659
457	197760.9441
458	197736.9682
459	197663.8205
460	197520.3483
461	197515.6818
462	197399.0552
463	197302.319
464	197211.6264
465	197162.6999
466	197122.3958
467	196859.9942
468	196704.7757
469	196604.1825
470	196420.727
471	196415.7194
472	196403.0806
473	196369.7667
474	196277.1042
475	196164.0155
476	196147.7791
477	196097.5071
478	195979.0069
479	195885.1387
480	195805.9572
481	195689.3041
482	195558.3124
483	195514.913
484	195424.7394
485	195292.2362
486	195286.5198
487	195275.2425
488	195232.0516
489	195171.0339
490	195136.1346
491	195073.7198
492	195011.8016
493	194874.2892
494	194785.9182
495	194720.2203
496	194620.5969
497	194590.4961
498	194570.0961
499	194486.556
500	194449.5632
501	194411.3005
502	194395.2484
503	194388.704
504	194290.2463
505	194147.1776
506	194084.5374
507	194056.5781
508	193997.0581
509	193974.7217
510	193891.7647
511	193718.4867
512	193661.6011
513	193656.6613
514	193636.2581
515	193535.6096
516	193531.2494
517	193525.5914
518	193469.3901
519	193449.656
520	193404.6802
521	193395.7892
522	193243.2889
523	193123.0701
524	193100.3099
525	193059.7451
526	193000.8151
527	192923.5418
528	192911.2185
529	192772.4977
530	192763.369
531	192739.5956
532	192722.1444
533	192718.2199
534	192636.5538
535	192627.0245
536	192588.9674
537	192526.0103
538	192442.7767
539	192422.2803
540	192318.0294
541	192273.8055
542	192182.6252
543	192098.8649
544	192075.3476
545	191977.06
546	191967.2275
547	191909.2545
548	191852.3511
549	191837.2633
550	191831.3451
551	191749.9066
552	191709.0936
553	191610.1188
554	191475.3196
555	191380.4801
556	191376.1025
557	191364.5702
558	191331.5837
559	191310.6185
560	191183.681
561	191142.9903
562	191118.453
563	191063.7766
564	191061.0066
565	191057.0454
566	190954.41
567	190945.7032
568	190821.3391
569	190699.7129
570	190588.2663
571	190587.1009
572	190489.3811
573	190438.9521
574	190369.8841
575	190354.1637
576	190260.1323
577	190252.5011
578	190157.9489
579	190128.551
580	190089.8629
581	189992.0954
582	189899.6839
583	189739.9233
584	189684.7837
585	189675.7178
586	189619.7566
587	189584.4838
588	189508.7007
589	189507.5895
590	189422.5727
591	189415.8856
592	189335.3871
593	189282.8516
594	189199.2235
595	189076.3504
596	189006.0419
597	188947.4847
598	188890.4205
599	188888.9401
600	188793.1242
601	188714.4259
602	188624.5858
603	188411.2503
604	188381.0941
605	188357.5342
606	188267.8756
607	188218.1476
608	188160.5578
609	188158.4945
610	188156.6984
611	188089.2716
612	188063.4096
613	187979.2998
614	187962.3402
615	187844.5133
616	187792.6517
617	187730.136
618	187727.7181
619	187665.9896
620	187565.5674
621	187506.8539
622	187460.6687
623	187458.4666
624	187386.2615
625	187366.0031
626	187271.3018
627	187157.3995
628	187072.8306
629	187009.8853
630	186992.7884
631	186986.9944
632	186918.0095
633	186840.5858
634	186796.303
635	186780.578
636	186774.3266
637	186772.8985
638	186758.4604
639	186661.8443
640	186584.4691
641	186512.5141
642	186510.5116
643	186440.0909
644	186438.5479
645	186430.3821
646	186129.0534
647	186082.9856
648	186079.871
649	185932.3829
650	185788.2806
651	185733.9622
652	185711.7438
653	185601.2285
654	185582.8294
655	185501.2345
656	185482.4826
657	185444.9577
658	185371.5717
659	185265.9382
660	185185.3128
661	185121.0803
662	185044.9008
663	185011.8908
664	185007.5022
665	184982.7701
666	184934.5606
667	184894.1602
668	184536.1315
669	184494.4324
670	184310.4286
671	184266.619
672	184218.8127
673	184179.7358
674	184145.9394
675	184063.4503
676	184005.2325
677	183962.1182
678	183922.9229
679	183899.0575
680	183860.0674
681	183809.3735
682	183799.2845
683	183747.1395
684	183675.9988
685	183624.4518
686	183622.1992
687	183563.5584
688	183500.6741
689	183493.0755
690	183423.7951
691	183341.203
692	183278.028
693	183057.1619
694	182954.9762
695	182879.9648
696	182726.4047
697	182708.1974
698	182695.6
699	182693.4823
700	182661.9152
701	182659.9004
702	182611.0088
