iter	Passed	Remaining
0	2	2468
1	4	2033
2	5	1886
3	7	1818
4	8	1769
5	10	1738
6	12	1704
7	13	1668
8	14	1647
9	16	1660
10	18	1639
11	19	1622
12	21	1615
13	22	1601
14	24	1591
15	25	1583
16	27	1584
17	29	1582
18	30	1592
19	32	1586
20	33	1584
21	35	1580
22	37	1578
23	38	1577
24	40	1574
25	41	1567
26	43	1558
27	44	1555
28	46	1554
29	48	1552
30	49	1552
31	51	1550
32	53	1556
33	54	1556
34	56	1552
35	57	1548
36	59	1543
37	60	1540
38	62	1540
39	64	1539
40	65	1535
41	66	1519
42	68	1514
43	69	1512
44	71	1508
45	72	1507
46	73	1498
47	75	1493
48	76	1489
49	78	1487
50	79	1484
51	81	1481
52	82	1477
53	84	1473
54	85	1469
55	86	1466
56	88	1464
57	90	1463
58	91	1460
59	93	1460
60	94	1457
61	96	1453
62	97	1450
63	98	1447
64	100	1445
65	101	1443
66	103	1440
67	104	1437
68	106	1434
69	107	1431
70	109	1430
71	110	1426
72	112	1423
73	113	1421
74	115	1421
75	116	1421
76	119	1429
77	121	1433
78	122	1431
79	124	1428
80	125	1426
81	127	1425
82	129	1425
83	130	1423
84	131	1420
85	133	1418
86	134	1415
87	136	1414
88	138	1414
89	140	1416
90	141	1416
91	143	1415
92	144	1414
93	146	1412
94	148	1411
95	149	1408
96	151	1406
97	152	1403
98	154	1401
99	155	1400
100	157	1398
101	158	1396
102	160	1394
103	161	1392
104	163	1391
105	164	1388
106	166	1385
107	167	1383
108	169	1381
109	170	1380
110	172	1378
111	173	1376
112	175	1375
113	176	1373
114	178	1372
115	179	1369
116	181	1366
117	182	1364
118	184	1364
119	185	1361
120	187	1360
121	188	1359
122	190	1357
123	191	1355
124	193	1354
125	195	1353
126	196	1351
127	197	1348
128	199	1346
129	200	1344
130	202	1343
131	204	1342
132	205	1342
133	207	1343
134	210	1349
135	212	1347
136	213	1345
137	215	1344
138	217	1344
139	218	1342
140	220	1340
141	221	1338
142	222	1336
143	224	1334
144	226	1333
145	227	1332
146	229	1333
147	232	1338
148	234	1339
149	236	1341
150	238	1343
151	240	1342
152	242	1342
153	244	1341
154	245	1339
155	247	1337
156	248	1335
157	250	1333
158	251	1330
159	253	1328
160	254	1326
161	256	1324
162	257	1323
163	259	1321
164	260	1319
165	262	1317
166	263	1315
167	265	1312
168	266	1310
169	267	1307
170	269	1306
171	270	1304
172	272	1302
173	274	1301
174	275	1297
175	276	1294
176	278	1292
177	279	1290
178	280	1288
179	282	1286
180	283	1284
181	285	1281
182	286	1280
183	288	1279
184	290	1277
185	291	1276
186	293	1274
187	294	1273
188	296	1270
189	297	1268
190	299	1266
191	300	1264
192	302	1262
193	303	1260
194	304	1258
195	306	1257
196	308	1255
197	309	1253
198	311	1252
199	312	1248
200	313	1246
201	315	1244
202	316	1242
203	317	1240
204	319	1238
205	320	1236
206	322	1234
207	323	1233
208	325	1230
209	326	1229
210	328	1227
211	329	1225
212	331	1223
213	332	1221
214	333	1218
215	335	1216
216	336	1215
217	338	1214
218	340	1212
219	341	1211
220	343	1210
221	345	1209
222	346	1208
223	348	1207
224	350	1205
225	351	1204
226	353	1202
227	354	1200
228	356	1198
229	357	1197
